ID,Latitude,Longitude,Name
anal1239,24.0506,94.2806,Anal
komi1270,24.8688,94.534,Kom (India)
chir1283,25.4643,94.4072,Chiru
moyo1238,24.4793,94.3421,Moyon
mons1234,24.5322,94.2164,Monsang Naga
rang1267,23.819438,91.66491,Halam
karb1241,25.7317,93.0462,Hills Karbi
amri1238,26.024,91.482,Amri Karbi
khoi1251,24.2041,94.1345,Khoibu
mari1416,24.2854,94.0723,Maring Naga
khan1277,25.73633,94.247299,Southern Tangkhul Naga
nort3286,25.247878,94.551996,Northern Tangkhul Naga
nort3287,25.156667,94.204722,North-Central Tangkhul Naga
tang1336,25.0489,94.3567,East-Central Tangkhul Naga
suan1234,25.4333,94.5803,Suansu
than1255,25.3472,93.8396,Thangal Naga
lian1251,25.16,93.542,Liangmai Naga
mzie1235,25.4779,93.71,Mzieme Naga
zeme1240,25.3499,93.6463,Zeme Naga
rong1266,25.098,93.7869,Rongmei Naga
mara1379,25.4378,94.2205,Maram Naga
pwow1235,17.3622,97.7044,Pwo Western Karen
pwoe1235,15.1915,98.7355,Pwo Eastern Karen
phra1235,18.0048,99.6382,Phrae Pwo Karen
pwon1235,18.016,98.2709,Pwo Northern Karen
paok1235,20.211,97.5969,Pa'o Karen
paku1238,18.8137,97.1203,Paku Karen
sgaw1245,17.9872,97.7126,S'gaw Karen
wewa1238,19.020577,96.540526,Wewaw
kaya1315,19.5183,97.4138,Kayan Lahwi
yinb1236,19.0383,97.2134,Yinbaw Karen
geko1235,19.6741,96.5308,Geko Karen
zaye1235,20.16,96.908,Lahta-Zayein Karen
bwek1238,18.9796,96.9936,Bwe Karen
geba1237,19.4991,96.9492,Geba Karen
mobw1234,19.0443,96.6027,Mobwa Karen
east2342,19.8939,98.3359,Eastern Kayah
west2409,18.687,97.4877,Western Kayah
yint1235,18.9378,97.3368,Yintale Karen
manu1255,19.165,96.9531,Manumanaw Karen
brek1238,19.0561,96.8365,Brek Karen
namm1235,36.11,99.43,Nam
rawa1265,27.1027,97.0738,Rawang
drun1238,28.00792,98.49449,Drung
nung1282,27.2887,98.7333,Nung (Myanmar)
puxi1243,25.37,118.68,Pu-Xian Chinese
minn1241,24.5,118.17,Min Nan Chinese
mind1253,26.0,119.5,Min Dong Chinese
minz1235,26.0686,117.376,Min Zhong Chinese
minb1244,27.05,118.32,Min Bei Chinese
lite1248,34.09,109.05,Literary Chinese
xian1251,27.66847,111.47112,Xiang Chinese
wuch1236,29.8621,119.682,Wu Chinese
huiz1242,29.7646,118.232,Hui Chinese
ganc1239,27.9896,115.166,Gan Chinese
sout3250,23.011,108.093,Southern Pinghua
nort3268,25.218,110.045,Northern Pinghua
yuec1235,23.0,113.0,Yue Chinese
quji1234,24.816667,113.6,Qujiang Hakka-Shibei Shaoguan Tuhua
hezh1244,35.59,103.197,Hezhou
wutu1241,35.269,101.957,Wutunhua
tang1373,35.803799,103.54273,Tangwang
gang1272,35.55,102.43,Gangou
dung1253,42.7292,76.8382,Dungan
mand1415,40.0209,116.228,Mandarin Chinese
daoh1239,30.0325,101.007222,Daohua
jiny1235,38.8284,111.278,Jinyu Chinese
midd1344,34.27,108.9,Middle Chinese
hakk1236,25.0,116.0,Hakka Chinese
oldc1244,36.12,114.32,Old Chinese
waxi1236,28.644,110.362,Waxianghua
